# Global Ionospheric Radio Observatory
# GIRO Tabulated Ionospheric Characteristics, Version 1.0 Revision B
# Generated by DIDBGetValues on 2023-09-18T01:07:09.277Z
#
# Location: GEO 23.0N 72.5E, URSI-Code AH223 AHMEDABAD
# Instrument: Ionosonde, Model: DPS-4D
#
# Query for measurement intervals of time:
# 2012-07-02T21:00:00.000Z - 2013-07-02T21:00:00.000Z
#
# Data Selection:
# CS is Autoscaling Confidence Score (from 0 to 100, 999 if manual scaling, -1 if unknown)
# foE [MHz] - E layer critical frequency
#
# All GIRO measurements are released under CC-BY-NC-SA 4.0 license
# Please follow the Lowell GIRO Data Center RULES OF THE ROAD
# https://ulcar.uml.edu/DIDBase/RulesOfTheRoadForDIDBase.htm
# Requires acknowledgement of AH223 data provider
#
#Time                     CS   foE QD
2012-07-08T03:15:00.000Z  75  3.08 //
2012-07-08T03:22:30.000Z  90  3.01 //
2012-07-08T03:30:00.000Z  90  2.95 //
2012-07-08T03:37:30.000Z 100  3.20 //
2012-07-08T03:45:00.000Z  90  3.23 //
2012-07-08T03:52:30.000Z  90  3.31 //
2012-07-08T04:00:00.000Z  95  3.26 //
2012-07-08T04:07:30.000Z 100  3.45 //
2012-07-08T04:30:00.000Z 100  3.43 //
2012-07-08T04:45:00.000Z 100  3.45 //
2012-07-08T04:52:30.000Z 100  3.43 //
2012-07-08T05:07:30.000Z  95  3.38 //
2012-07-08T06:22:30.000Z 100  3.61 //
2012-07-08T06:30:00.000Z  95  3.43 //
2012-07-08T06:37:30.000Z 100  3.61 //
2012-07-08T06:52:30.000Z  95  3.65 //
2012-07-08T08:00:00.000Z  95  3.53 //
2012-07-08T09:07:30.000Z  95  2.95 //
2012-07-08T10:15:00.000Z  95  3.45 //
2012-07-08T11:00:00.000Z  95  3.26 //
2012-07-08T11:07:30.000Z  80  3.23 //
2012-07-08T11:15:00.000Z  95  3.23 //
2012-07-08T11:22:30.000Z  95  3.13 //
2012-07-08T11:30:00.000Z  85  3.13 //
2012-07-08T11:37:30.000Z  85  2.93 //
2012-07-08T11:45:00.000Z  95  3.01 //
2012-07-08T11:52:30.000Z  95  2.93 //
2012-07-08T12:00:00.000Z  95  2.95 //
2012-07-08T12:07:30.000Z  95  2.88 //
2012-07-08T12:22:30.000Z  95  2.53 //
2012-07-08T12:30:00.000Z  95  2.70 //
2012-07-08T12:37:30.000Z  95  2.61 //
2012-07-08T12:45:00.000Z  95  2.56 //
2012-07-08T12:52:30.000Z  95  2.45 //
2012-07-08T13:00:00.000Z  95  2.40 //
2012-07-08T13:07:30.000Z  90  2.15 //
2012-07-08T13:15:00.000Z  95  2.18 //
2012-07-08T13:22:30.000Z  95  1.98 //
2012-07-08T13:30:00.000Z  85  1.96 //
2012-07-09T01:00:00.000Z  95  1.96 //
2012-07-09T01:07:30.000Z  95  1.98 //
2012-07-09T01:15:00.000Z 100  2.08 //
2012-07-09T01:22:30.000Z  95  2.28 //
2012-07-09T01:30:00.000Z  95  2.26 //
2012-07-09T01:37:30.000Z  95  2.33 //
2012-07-09T01:45:00.000Z 100  2.51 //
2012-07-09T01:52:30.000Z  95  2.45 //
2012-07-09T02:00:00.000Z  95  2.43 //
2012-07-09T02:15:00.000Z  95  2.78 //
2012-07-09T02:22:30.000Z 100  2.86 //
2012-07-09T02:30:00.000Z 100  2.86 //
2012-07-09T02:37:30.000Z 100  2.98 //
2012-07-09T02:45:00.000Z  90  3.01 //
2012-07-09T02:52:30.000Z  95  3.06 //
2012-07-09T03:00:00.000Z  95  3.06 //
2012-07-09T03:22:30.000Z  95  3.13 //
2012-07-09T03:30:00.000Z  90  3.15 //
2012-07-09T03:37:30.000Z  95  3.20 //
2012-07-09T04:00:00.000Z  95  3.28 //
2012-07-09T04:07:30.000Z  85  3.38 //
2012-07-09T04:15:00.000Z  95  3.48 //
2012-07-09T04:22:30.000Z 100  3.48 //
2012-07-09T04:30:00.000Z  90  3.53 //
2012-07-09T06:22:30.000Z  95  3.68 //
2012-07-09T06:37:30.000Z  90  3.56 //
2012-07-09T06:52:30.000Z 100  3.43 //
2012-07-09T07:00:00.000Z  95  3.63 //
2012-07-09T07:30:00.000Z  95  3.45 //
2012-07-09T07:37:30.000Z  95  3.70 //
2012-07-09T07:45:00.000Z  95  3.48 //
2012-07-09T08:00:00.000Z  95  3.68 //
2012-07-09T10:22:30.000Z  95  3.43 //
2012-07-09T10:30:00.000Z  90  3.43 //
2012-07-09T10:45:00.000Z  95  3.13 //
2012-07-09T11:00:00.000Z  95  3.15 //
2012-07-09T11:07:30.000Z  85  3.26 //
2012-07-09T11:15:00.000Z  95  3.18 //
2012-07-09T11:22:30.000Z  95  3.08 //
2012-07-09T11:30:00.000Z  95  3.15 //
2012-07-09T11:37:30.000Z  95  3.01 //
2012-07-09T11:45:00.000Z  65  3.08 //
2012-07-09T11:52:30.000Z  95  2.90 //
2012-07-09T12:00:00.000Z  95  2.90 //
2012-07-09T12:07:30.000Z  95  2.90 //
2012-07-09T12:15:00.000Z  95  2.81 //
2012-07-09T12:22:30.000Z  95  2.81 //
2012-07-09T12:30:00.000Z  95  2.70 //
2012-07-09T12:37:30.000Z  85  2.65 //
2012-07-09T12:45:00.000Z  85  2.45 /_
2012-07-09T12:52:30.000Z  85  3.43 /_
2012-07-09T13:30:00.000Z  65  1.90 //
2012-07-09T13:37:30.000Z  85  1.78 //
2012-07-10T01:00:00.000Z  85  1.86 //
2012-07-10T01:07:30.000Z  95  2.11 //
2012-07-10T01:22:30.000Z  95  2.20 //
2012-07-10T01:30:00.000Z  95  2.33 //
2012-07-10T01:37:30.000Z 100  2.45 //
2012-07-10T01:45:00.000Z  95  2.53 //
2012-07-10T01:52:30.000Z  95  2.61 //
2012-07-10T02:00:00.000Z  60  2.73 //
2012-07-10T02:07:30.000Z  80  2.81 //
2012-07-10T02:15:00.000Z  95  2.86 //
2012-07-10T02:22:30.000Z  85  2.90 //
2012-07-10T02:30:00.000Z  95  2.90 //
2012-07-10T02:37:30.000Z  95  3.03 //
2012-07-10T02:45:00.000Z  90  3.03 //
2012-07-10T02:52:30.000Z  90  3.11 //
2012-07-10T03:00:00.000Z  90  3.13 //
2012-07-10T03:07:30.000Z  80  3.18 //
2012-07-10T03:15:00.000Z  80  3.18 //
2012-07-10T03:22:30.000Z  60  3.26 //
2012-07-10T03:30:00.000Z  80  3.28 //
2012-07-10T03:37:30.000Z  20  3.36 //
2012-07-10T03:45:00.000Z  70  3.36 //
2012-07-10T03:52:30.000Z  40  3.38 //
2012-07-10T04:00:00.000Z  70  3.38 //
2012-07-10T04:07:30.000Z  65  3.43 //
2012-07-10T04:15:00.000Z  80  3.48 //
2012-07-10T04:22:30.000Z  60  3.48 //
2012-07-10T04:30:00.000Z  60  3.48 //
2012-07-10T04:52:30.000Z  90  3.08 //
2012-07-10T05:00:00.000Z  80  3.58 //
2012-07-10T07:30:00.000Z  60  3.58 //
2012-07-10T07:45:00.000Z  95  3.56 //
2012-07-10T08:45:00.000Z  90  3.70 //
2012-07-10T09:15:00.000Z  90  3.58 //
2012-07-10T09:22:30.000Z  95  3.56 //
2012-07-10T09:30:00.000Z  95  3.61 //
2012-07-10T09:37:30.000Z  95  3.40 //
2012-07-10T09:45:00.000Z  80  2.95 //
2012-07-10T09:52:30.000Z  65  3.28 //
2012-07-10T10:00:00.000Z  95  3.38 //
2012-07-10T10:07:30.000Z  90  3.38 //
2012-07-10T10:15:00.000Z  60  3.08 //
2012-07-10T10:22:30.000Z  85  3.36 //
2012-07-10T10:30:00.000Z  90  3.31 //
2012-07-10T10:37:30.000Z  90  3.31 //
2012-07-10T10:45:00.000Z   0  3.11 //
2012-07-10T10:52:30.000Z  85  3.06 //
2012-07-10T11:00:00.000Z  90  3.15 //
2012-07-10T11:07:30.000Z  95  3.13 //
2012-07-10T11:15:00.000Z  85  3.15 //
2012-07-10T11:22:30.000Z 100  3.13 //
2012-07-10T11:30:00.000Z 100  2.81 //
2012-07-10T11:37:30.000Z  85  2.76 //
2012-07-10T11:45:00.000Z 100  2.76 //
2012-07-10T11:52:30.000Z  85  2.53 //
2012-07-10T12:00:00.000Z  85  2.76 //
2012-07-10T12:07:30.000Z  75  2.78 //
2012-07-10T12:15:00.000Z  90  2.65 //
2012-07-10T12:22:30.000Z  95  2.68 //
2012-07-10T12:30:00.000Z  95  2.53 //
2012-07-10T12:37:30.000Z  85  2.63 //
2012-07-10T12:45:00.000Z  95  2.06 //
2012-07-10T12:52:30.000Z  95  2.01 //
2012-07-10T13:00:00.000Z  95  2.36 //
2012-07-10T13:07:30.000Z  90  2.31 //
2012-07-10T13:15:00.000Z  90  2.18 //
2012-07-10T13:30:00.000Z  95  1.93 //
2012-07-10T13:37:30.000Z 100  1.50 //
2012-07-11T01:00:00.000Z  95  1.93 //
2012-07-11T01:07:30.000Z 100  2.06 //
2012-07-11T01:15:00.000Z  75  2.15 //
2012-07-11T01:22:30.000Z  75  2.26 //
2012-07-11T01:30:00.000Z  75  2.23 //
2012-07-11T01:37:30.000Z  95  2.40 //
2012-07-11T01:45:00.000Z  85  2.53 //
2012-07-11T01:52:30.000Z  75  2.58 //
2012-07-11T02:00:00.000Z  80  2.73 //
2012-07-11T02:07:30.000Z  95  2.63 //
2012-07-11T02:15:00.000Z  90  2.86 //
2012-07-11T02:22:30.000Z  95  2.83 //
2012-07-11T02:30:00.000Z  95  2.95 //
2012-07-11T02:37:30.000Z  50  3.01 //
2012-07-11T02:45:00.000Z  95  2.83 //
2012-07-11T02:52:30.000Z 100  3.11 //
2012-07-11T03:00:00.000Z  70  3.11 //
2012-07-11T03:07:30.000Z  90  3.13 //
2012-07-11T03:15:00.000Z  55  3.03 //
2012-07-11T03:22:30.000Z  70  3.15 //
